温馨提示,#genre#
以下直播资源 纯属免费分享,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=lHq4jz&tk=h6JwS3rCfB5E
不要相信直播源 里面的广告,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=wJBTHS&tk=h6JwS3rCfB5E
不要相信直播源 里面的QQ号,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=teP9o0&tk=h6JwS3rCfB5E
纯属娱乐 如果被骗后果自负,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=w4Jh09&tk=h6JwS3rCfB5E
MyTV测试,#genre#
翡翠台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=eQXsnb&tk=h6JwS3rCfB5E
明珠台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=wisial&tk=h6JwS3rCfB5E
無綫新聞台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=WWZgp1&tk=h6JwS3rCfB5E
娛樂新聞台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=bduzVL&tk=h6JwS3rCfB5E
myTV SUPER 18台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=EdbJtL&tk=h6JwS3rCfB5E
PopC,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=AeqAI3&tk=h6JwS3rCfB5E
中國電影頻道,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=UjJTpx&tk=h6JwS3rCfB5E
亞洲劇台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=TvpQpk&tk=h6JwS3rCfB5E
功夫台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=pMKk7M&tk=h6JwS3rCfB5E
千禧經典台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=GxHoYz&tk=h6JwS3rCfB5E
天映经典,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Ry2IbC&tk=h6JwS3rCfB5E
戲曲台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=czkdZA&tk=h6JwS3rCfB5E
星河频道,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=vjXS3M&tk=h6JwS3rCfB5E
粵語片台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=3NNRgX&tk=h6JwS3rCfB5E
美亞電影台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=OBSmdZ&tk=h6JwS3rCfB5E
華語劇台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=9yyONH&tk=h6JwS3rCfB5E
黄金翡翠台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=eQxmji&tk=h6JwS3rCfB5E
黄金华剧台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=qmCbBq&tk=h6JwS3rCfB5E
极速港台,#genre#
凤凰中文台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=74QjRg&tk=h6JwS3rCfB5E
凤凰资讯台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=CKpqkH&tk=h6JwS3rCfB5E
凤凰香港台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=4Bg6IY&tk=h6JwS3rCfB5E
翡翠台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=cwqBmQ&tk=h6JwS3rCfB5E
无线新闻台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=7Hicu2&tk=h6JwS3rCfB5E
TVB Plus,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=wdFpNm&tk=h6JwS3rCfB5E
TVB生活台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=b767Cb&tk=h6JwS3rCfB5E
TVB星河(国),http://kkk.888.3116598.xyz/api.php?n=HKTV&id=aEegKe&tk=h6JwS3rCfB5E
TVB功夫(国),http://kkk.888.3116598.xyz/api.php?n=HKTV&id=cIPo8l&tk=h6JwS3rCfB5E
PopC电影,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=pt7VBv&tk=h6JwS3rCfB5E
天映经典(港),http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Z7sWoV&tk=h6JwS3rCfB5E
星空卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=tat2Cq&tk=h6JwS3rCfB5E
