臺灣 Taiwan,#genre#
AXN,https://Smart.pendy.dpdns.org/Smart.php?id=axn_twn
CINEMAX,https://Smart.pendy.dpdns.org/Smart.php?id=cinemax_twn
EYE戲劇,https://Smart.pendy.dpdns.org/Smart.php?id=eyetvxiju_twn
EYE旅遊,https://Smart.pendy.dpdns.org/Smart.php?id=eyetvtravel_twn
HBO,https://Smart.pendy.dpdns.org/Smart.php?id=hbohd_twn
HBO Family,https://Smart.pendy.dpdns.org/Smart.php?id=fyi_twn
好萊塢電影台,https://Smart.pendy.dpdns.org/Smart.php?id=hollywoodmovies_twn
MTV Live,https://Smart.pendy.dpdns.org/Smart.php?id=mtvhd_twn
TLC旅遊生活,https://Smart.pendy.dpdns.org/Smart.php?id=tlc_twn
東森新聞,https://Smart.pendy.dpdns.org/Smart.php?id=ettvnews
TVBS HD,https://Smart.pendy.dpdns.org/Smart.php?id=tvbs
TVBS新聞台,https://Smart.pendy.dpdns.org/Smart.php?id=tvbs_n
TVBS歡樂台,https://Smart.pendy.dpdns.org/Smart.php?id=tvbshuanle_twn
三立台灣台,https://Smart.pendy.dpdns.org/Smart.php?id=sanlitaiwan
三立戲劇台,https://Smart.pendy.dpdns.org/Smart.php?id=sanlixiju_twn
三立綜合台,https://Smart.pendy.dpdns.org/Smart.php?id=sanlizhonghe
中天亞洲台,https://Smart.pendy.dpdns.org/Smart.php?id=ctiasia_twn
中天娱樂,https://Smart.pendy.dpdns.org/Smart.php?id=ctient
中天新聞HD,https://Smart.pendy.dpdns.org/Smart.php?id=ctinews
中天綜合,https://Smart.pendy.dpdns.org/Smart.php?id=ctizhonghe
亞洲旅遊台,https://Smart.pendy.dpdns.org/Smart.php?id=asiatravel_twn
亞洲美食,https://Smart.pendy.dpdns.org/Smart.php?id=afc_twn
八大戲劇,https://Smart.pendy.dpdns.org/Smart.php?id=badadrama
八大第一,https://Smart.pendy.dpdns.org/Smart.php?id=badafirst
八大綜合,https://Smart.pendy.dpdns.org/Smart.php?id=badazhonghe
公視,https://Smart.pendy.dpdns.org/Smart.php?id=ctv_taiwan
民視,https://Smart.pendy.dpdns.org/Smart.php?id=ftvhd_taiwan
民視第一台,https://Smart.pendy.dpdns.org/Smart.php?id=lunghuajingdian_twn
民視台灣台,https://Smart.pendy.dpdns.org/Smart.php?id=ftvtaiwan_twn
民視新聞台,https://Smart.pendy.dpdns.org/Smart.php?id=ftvnew_taiwan
台視,https://Smart.pendy.dpdns.org/Smart.php?id=ttv_taiwan
台視新聞台,https://Smart.pendy.dpdns.org/Smart.php?id=ttvnews_twn
中視,https://Smart.pendy.dpdns.org/Smart.php?id=zhongshihd_twn
中視新聞台,https://Smart.pendy.dpdns.org/Smart.php?id=zhongshinews_twn
中視經典,https://Smart.pendy.dpdns.org/Smart.php?id=zhongshi_twn
華視,https://Smart.pendy.dpdns.org/Smart.php?id=ctshd_twn
華藝綜合,https://Smart.pendy.dpdns.org/Smart.php?id=weishichinese_twn
大愛一台,https://Smart.pendy.dpdns.org/Smart.php?id=daai_twn
寰宇新聞台,https://Smart.pendy.dpdns.org/Smart.php?id=huanyuxinwen_twn
寰宇財經台,https://Smart.pendy.dpdns.org/Smart.php?id=huanyutaiwan_twn
年代新聞台,https://Smart.pendy.dpdns.org/Smart.php?id=niandainews_twn
愛爾達影劇,https://Smart.pendy.dpdns.org/Smart.php?id=eltayingju_twn
愛爾達體育 1,https://Smart.pendy.dpdns.org/Smart.php?id=eltasport_twn
愛爾達體育 2,https://Smart.pendy.dpdns.org/Smart.php?id=eltasport2_twn
愛爾達體育 3,https://Smart.pendy.dpdns.org/Smart.php?id=eltasport3_twn
ELEVEN 1,https://Smart.pendy.dpdns.org/Smart.php?id=golfchannel_twn
博斯網球,https://Smart.pendy.dpdns.org/Smart.php?id=bositennis_twn
博斯運動1,https://Smart.pendy.dpdns.org/Smart.php?id=bosisport1_twn
博斯運動2,https://Smart.pendy.dpdns.org/Smart.php?id=bosisport2_twn
博斯高球1,https://Smart.pendy.dpdns.org/Smart.php?id=bosigolf1_twn
博斯高球2,https://Smart.pendy.dpdns.org/Smart.php?id=bosigolf2_twn
探索亞洲,https://Smart.pendy.dpdns.org/Smart.php?id=discoverytwn_twn
探索動力,https://Smart.pendy.dpdns.org/Smart.php?id=discoveryturbo_twn
國家地理,https://Smart.pendy.dpdns.org/Smart.php?id=natgeohd_twn
野生動物,https://Smart.pendy.dpdns.org/Smart.php?id=natgeowild_twn
動物星球,https://Smart.pendy.dpdns.org/Smart.php?id=animalplanet_twn
時尚,https://Smart.pendy.dpdns.org/Smart.php?id=fashiontv_twn
Discovery Asia,https://Smart.pendy.dpdns.org/Smart.php?id=discoverytwn_twn
Discovery HD,https://Smart.pendy.dpdns.org/Smart.php?id=discoveryhd_twn
東森戲劇,https://Smart.pendy.dpdns.org/Smart.php?id=ettvdrama
東森洋片,https://Smart.pendy.dpdns.org/Smart.php?id=ettvwestern
東森綜合,https://Smart.pendy.dpdns.org/Smart.php?id=ettvzhonghe
東森財經新聞,https://Smart.pendy.dpdns.org/Smart.php?id=ettvcaijing_twn
東森電影,https://Smart.pendy.dpdns.org/Smart.php?id=ettvmovie
緯來日本台,https://Smart.pendy.dpdns.org/Smart.php?id=videolandjapan
緯來體育台,https://Smart.pendy.dpdns.org/Smart.php?id=videolandsport
美亞電影,https://Smart.pendy.dpdns.org/Smart.php?id=meiyamovie_twn
BBC World News,https://Smart.pendy.dpdns.org/Smart.php?id=bbcnews_twn
Bloomberg News,https://Smart.pendy.dpdns.org/Smart.php?id=bloomberg_twn
Fox News,https://Smart.pendy.dpdns.org/Smart.php?id=foxnews_twn
阿里郎,https://Smart.pendy.dpdns.org/Smart.php?id=arirang_twn
CN卡通,https://Smart.pendy.dpdns.org/Smart.php?id=momo1_twn
靖天卡通台,https://Smart.pendy.dpdns.org/Smart.php?id=jingtiancartoon_twn
靖天國際台,https://Smart.pendy.dpdns.org/Smart.php?id=jingtianintl_twn
非凡新聞台,https://Smart.pendy.dpdns.org/Smart.php?id=feifannews_twn
龍祥時代,https://Smart.pendy.dpdns.org/Smart.php?id=lungxiangtime_twn
龍華偶像,https://Smart.pendy.dpdns.org/Smart.php?id=lunghuaidol_twn
龍華戲劇,https://Smart.pendy.dpdns.org/Smart.php?id=lunghuaxiju_twn
龍華洋片,https://Smart.pendy.dpdns.org/Smart.php?id=lunghuawestern_twn
龍華經典,https://Smart.pendy.dpdns.org/Smart.php?id=lunghuajingdian_twn
龍華電影,https://Smart.pendy.dpdns.org/Smart.php?id=xingwei_movie
馬來西亞 Malaysia,#genre#
TV1,https://Smart.pendy.dpdns.org/Smart.php?id=TV1
TV1(備用),https://Smart.pendy.dpdns.org/Smart.php?id=TV1_backup
TV2,https://Smart.pendy.dpdns.org/Smart.php?id=TV2
TV3,https://Smart.pendy.dpdns.org/Smart.php?id=TV3
TV3(備用),https://Smart.pendy.dpdns.org/Smart.php?id=tv3_twn
NTV7,https://Smart.pendy.dpdns.org/Smart.php?id=NTV7
TV8,https://Smart.pendy.dpdns.org/Smart.php?id=TV8
TV9,https://Smart.pendy.dpdns.org/Smart.php?id=TV9
Warna,https://Smart.pendy.dpdns.org/Smart.php?id=Warna-O
Warna(備用),https://Smart.pendy.dpdns.org/Smart.php?id=Warna
Ria,https://Smart.pendy.dpdns.org/Smart.php?id=Ria-0
Ria(備用),https://Smart.pendy.dpdns.org/Smart.php?id=Ria49
Ria-3,https://Smart.pendy.dpdns.org/Smart.php?id=Ria_quanjia
Al-Hijrah,https://Smart.pendy.dpdns.org/Smart.php?id=Alhijrah
Al-Hijrah(備用),https://Smart.pendy.dpdns.org/Smart.php?id=Alhijrah_backup
Awani,https://Smart.pendy.dpdns.org/Smart.php?id=Awani
Bernama,https://Smart.pendy.dpdns.org/Smart.php?id=Bernama
Prima,https://Smart.pendy.dpdns.org/Smart.php?id=Prima-0
Prima(備用),https://Smart.pendy.dpdns.org/Smart.php?id=Prima49
Ceria,https://Smart.pendy.dpdns.org/Smart.php?id=Ceria
