🌌☘️📡央卫秒播🍅,#genre#
CCTV1,http://183.222.242.31:8088/hls/1/index.m3u8
CCTV2,http://183.222.242.31:8088/hls/2/index.m3u8
CCTV3,http://183.222.242.31:8088/hls/3/index.m3u8
CCTV4,http://183.222.242.31:8088/hls/4/index.m3u8
CCTV5,http://183.222.242.31:8088/hls/5/index.m3u8
CCTV6,http://183.222.242.31:8088/hls/6/index.m3u8
CCTV7,http://183.222.242.31:8088/hls/7/index.m3u8
CCTV8,http://183.222.242.31:8088/hls/8/index.m3u8
CCTV9,http://183.222.242.31:8088/hls/9/index.m3u8
CCTV10,http://183.222.242.31:8088/hls/10/index.m3u8
CCTV11,http://183.222.242.31:8088/hls/11/index.m3u8
CCTV12,http://183.222.242.31:8088/hls/12/index.m3u8
CCTV13,http://183.222.242.31:8088/hls/13/index.m3u8
CCTV14,http://183.222.242.31:8088/hls/14/index.m3u8
CCTV15,http://183.222.242.31:8088/hls/15/index.m3u8
CCTV5+,http://183.222.242.31:8088/hls/16/index.m3u8
四川卫视,http://183.222.242.31:8088/hls/17/index.m3u8
湖南卫视,http://183.222.242.31:8088/hls/18/index.m3u8
江苏卫视,http://183.222.242.31:8088/hls/19/index.m3u8
浙江卫视,http://183.222.242.31:8088/hls/20/index.m3u8
东方卫视,http://183.222.242.31:8088/hls/21/index.m3u8
北京卫视,http://183.222.242.31:8088/hls/22/index.m3u8
广东卫视,http://183.222.242.31:8088/hls/23/index.m3u8
天津卫视,http://183.222.242.31:8088/hls/24/index.m3u8
山东卫视,http://183.222.242.31:8088/hls/25/index.m3u8
黑龙江卫视,http://183.222.242.31:8088/hls/26/index.m3u8
重庆卫视,http://183.222.242.31:8088/hls/27/index.m3u8
湖北卫视,http://183.222.242.31:8088/hls/28/index.m3u8
江西卫视,http://183.222.242.31:8088/hls/29/index.m3u8
东南卫视,http://183.222.242.31:8088/hls/30/index.m3u8
贵州卫视,http://183.222.242.31:8088/hls/31/index.m3u8
安徽卫视,http://183.222.242.31:8088/hls/32/index.m3u8
河北卫视,http://183.222.242.31:8088/hls/33/index.m3u8
辽宁卫视,http://183.222.242.31:8088/hls/34/index.m3u8
河南卫视,http://183.222.242.31:8088/hls/35/index.m3u8
🌌☘️📺央卫mytv6688🍅,#genre#
CCTV-1综合 HD,http://mytv6688.xyz/smt.php?id=cctv1
CCTV-2财经,http://mytv6688.xyz/smt.php?id=cctv2
CCTV-3综艺 HD,http://mytv6688.xyz/smt.php?id=cctv3
CCTV-4中文国际,http://mytv6688.xyz/smt.php?id=cctv4
CCTV-4中文国际,,http://mytv6688.xyz/smt.php?id=Cctv4
CCTV-7军事农业,http://mytv6688.xyz/smt.php?id=cctv7
CCTV-8电视剧 HD,http://mytv6688.xyz/smt.php?id=cctv8hd
CCTV-9记录 HD,http://mytv6688.xyz/smt.php?id=cctv9hd
CCTV-10科教 HD,http://mytv6688.xyz/smt.php?id=cctv10hd
CCTV-11戏曲,http://mytv6688.xyz/smt.php?id=cctv11
CCTV-12社会与法,http://mytv6688.xyz/smt.php?id=cctv12
CCTV-13新闻频道,http://mytv6688.xyz/smt.php?id=cctv13
CCTV-14少儿,http://mytv6688.xyz/smt.php?id=cctv14
CCTV-6,http://mytv6688.xyz/smt.php?id=cctv6
CCTV-15音乐,http://mytv6688.xyz/smt.php?id=cctv15
湖南卫视,http://mytv6688.xyz/smt.php?id=hunan_twn
浙江卫视,http://mytv6688.xyz/smt.php?id=zhejiang_twn
江苏卫视,http://mytv6688.xyz/smt.php?id=jiangsu_twn
深圳卫视,http://mytv6688.xyz/smt.php?id=shenzhen
东南卫视,http://mytv6688.xyz/smt.php?id=fujian
广东南方卫视,http://mytv6688.xyz/smt.php?id=nanfang_twn
广东卫视,http://mytv6688.xyz/smt.php?id=guangdongweishi_twn
北京卫视,http://mytv6688.xyz/smt.php?id=beijing
珠江台,http://mytv6688.xyz/smt.php?id=zhujiang
广西卫视,http://mytv6688.xyz/smt.php?id=guangxi
湖北卫视,http://mytv6688.xyz/smt.php?id=hubei
四川卫视,http://mytv6688.xyz/smt.php?id=sichuan_twn
东方卫视,http://mytv6688.xyz/smt.php?id=dongfangweishi_twn
CGTN,http://mytv6688.xyz/smt.php?id=CGTN
凤凰卫视,http://mytv6688.xyz/smt.php?id=phoenixtv_hd
凤凰资讯,http://mytv6688.xyz/smt.php?id=phoenixinfo_hd
CCTV-5体育频道,http://mytv6688.xyz/smt.php?id=cctv5
CCTV-5+体育赛事 HD,http://mytv6688.xyz/smt.php?id=cctv5plus
TVBS News 新闻台,http://mytv6688.xyz/smt.php?id=tvbs_n
TVBS 欢乐台 （备份）,http://mytv6688.xyz/smt.php?id=tvbshuanle_twn
🌌☘️📡央视移动🍅,#genre#
CCTV1-综合,http://1857416894.xionguamaqui.com:9901/tsfile/live/0001_1.m3u8
CCTV2-财经,http://1857416894.xionguamaqui.com:9901/tsfile/live/0002_1.m3u8
CCTV3-综艺,http://1857416894.xionguamaqui.com:9901/tsfile/live/0003_1.m3u8
CCTV4-国际,http://1857416894.xionguamaqui.com:9901/tsfile/live/0004_1.m3u8
