香港频道,#genre# 
翡翠台,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=jade_twn
翡翠台 backup,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=Jade_xue
iNews 新闻台,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=inews_twn
J 2,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=j2_twn
珍珠台,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=pearl_twn
凤凰香港,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=hkphoenix_twn
HOY资讯台,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=hoycaijing_twn
RHK 31,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=rhk31_twn
VIUTV1,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=viu1_twn
RHK 32,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=rhk32_twn
凤凰卫视,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=phoenixtv_hd
凤凰资讯,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=phoenixinfo_hd
Viu6,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=viusix_twn

央视频道,#genre# 
CCTV-1 综合 HD,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=cctv1
CCTV-2 财经,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=cctv2
CCTV-3 综艺 HD,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=cctv3
CCTV-4 中文国际,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=cctv4
CCTV4 新闻台,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=Cctv4
CCTV-5 体育频道,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=cctv5
CCTV-5+ 体育赛事 HD,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=cctv5plus
CCTV-6,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=cctv6
CCTV-7 军事农业,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=cctv7
CCTV-8 电视剧 HD,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=cctv8hd
CCTV-9 记录 HD,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=cctv9hd
CCTV-10 科教 HD,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=cctv10hd
CCTV-11 戏曲,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=cctv11
CCTV-12 社会与法,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=cctv12
CCTV-13 新闻频道,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=cctv13
CCTV-14 少儿,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=cctv14
CCTV-6,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=cctv6
CCTV-15 音乐,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=cctv15

卫视频道,#genre# 
湖南卫视,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=hunan_twn
浙江卫视,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=zhejiang_twn
江苏卫视,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=jiangsu_twn
深圳卫视,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=shenzhen
福建东南卫视,https://jykysovpgmxs.eu-central-1.clawcloudrun.com/Smart.php?id=fujian
