央视频道,#genre#
CCTV1,http://183.10.180.11:9901/tsfile/live/0001_1.m3u8?key=txiptv
CCTV1,http://218.13.167.110:9901/tsfile/live/0001_1.m3u8?key=txiptv
CCTV2,http://183.10.180.11:9901/tsfile/live/0002_1.m3u8?key=txiptv
CCTV2,http://218.13.167.110:9901/tsfile/live/0002_1.m3u8?key=txiptv
CCTV3,http://183.10.180.11:9901/tsfile/live/0003_1.m3u8?key=txiptv
CCTV3,http://218.13.167.110:9901/tsfile/live/0003_1.m3u8?key=txiptv
CCTV4,http://183.10.180.11:9901/tsfile/live/1071_1.m3u8?key=txiptv
CCTV4,http://218.13.167.110:9901/tsfile/live/0004_1.m3u8?key=txiptv
CCTV5,http://183.10.180.11:9901/tsfile/live/0005_1.m3u8?key=txiptv
CCTV5,http://218.13.167.110:9901/tsfile/live/0005_1.m3u8?key=txiptv
CCTV5+,http://183.10.180.11:9901/tsfile/live/1073_1.m3u8?key=txiptv
CCTV6,http://183.10.180.11:9901/tsfile/live/0006_1.m3u8?key=txiptv
CCTV6,http://218.13.167.110:9901/tsfile/live/0006_1.m3u8?key=txiptv
CCTV7,http://183.10.180.11:9901/tsfile/live/1072_1.m3u8?key=txiptv
CCTV7,http://218.13.167.110:9901/tsfile/live/0007_1.m3u8?key=txiptv
CCTV8,http://183.10.180.11:9901/tsfile/live/0008_1.m3u8?key=txiptv
CCTV8,http://218.13.167.110:9901/tsfile/live/0008_1.m3u8?key=txiptv
CCTV9,http://183.10.180.11:9901/tsfile/live/0009_1.m3u8?key=txiptv
CCTV9,http://218.13.167.110:9901/tsfile/live/0009_1.m3u8?key=txiptv
CCTV10,http://183.10.180.11:9901/tsfile/live/0010_1.m3u8?key=txiptv
CCTV10,http://218.13.167.110:9901/tsfile/live/0010_1.m3u8?key=txiptv
CCTV11,http://183.10.180.11:9901/tsfile/live/0011_1.m3u8?key=txiptv
CCTV11,http://218.13.167.110:9901/tsfile/live/0011_1.m3u8?key=txiptv
CCTV12,http://183.10.180.11:9901/tsfile/live/0012_1.m3u8?key=txiptv
CCTV12,http://218.13.167.110:9901/tsfile/live/0012_1.m3u8?key=txiptv
CCTV13,http://183.10.180.11:9901/tsfile/live/0013_1.m3u8?key=txiptv
CCTV13,http://218.13.167.110:9901/tsfile/live/0013_1.m3u8?key=txiptv
CCTV14,http://183.10.180.11:9901/tsfile/live/0014_1.m3u8?key=txiptv
CCTV14,http://218.13.167.110:9901/tsfile/live/0014_1.m3u8?key=txiptv
CCTV15,http://183.10.180.11:9901/tsfile/live/0015_1.m3u8?key=txiptv
CCTV15,http://218.13.167.110:9901/tsfile/live/0015_1.m3u8?key=txiptv
CCTV16,http://183.10.180.11:9901/tsfile/live/1065_1.m3u8?key=txiptv
CCTV17,http://183.10.180.11:9901/tsfile/live/1001_1.m3u8?key=txiptv
CCTV风云音乐,http://183.10.180.11:9901/tsfile/live/1009_1.m3u8?key=txiptv
CCTV世界地理,http://183.10.180.11:9901/tsfile/live/1008_1.m3u8?key=txiptv
CCTV第一剧场,http://183.10.180.11:9901/tsfile/live/1082_1.m3u8?key=txiptv
CCTV风云剧场,http://183.10.180.11:9901/tsfile/live/1032_1.m3u8?key=txiptv
CCTV风云足球,http://183.10.180.11:9901/tsfile/live/1007_1.m3u8?key=txiptv
卫视频道,#genre#
湖南卫视,http://183.10.180.11:9901/tsfile/live/0128_1.m3u8?key=txiptv
湖南卫视,http://218.13.167.110:9901/tsfile/live/0128_1.m3u8?key=txiptv
浙江卫视,http://183.10.180.11:9901/tsfile/live/0124_1.m3u8?key=txiptv
浙江卫视,http://218.13.167.110:9901/tsfile/live/0016_1.m3u8?key=txiptv
江苏卫视,http://183.10.180.11:9901/tsfile/live/0127_1.m3u8?key=txiptv
江苏卫视,http://218.13.167.110:9901/tsfile/live/0127_1.m3u8?key=txiptv
北京卫视,http://183.10.180.11:9901/tsfile/live/0122_1.m3u8?key=txiptv
北京卫视,http://218.13.167.110:9901/tsfile/live/0122_1.m3u8?key=txiptv
东方卫视,http://183.10.180.11:9901/tsfile/live/0107_1.m3u8?key=txiptv
东方卫视,http://218.13.167.110:9901/tsfile/live/0107_1.m3u8?key=txiptv
安徽卫视,http://183.10.180.11:9901/tsfile/live/0130_1.m3u8?key=txiptv
安徽卫视,http://218.13.167.110:9901/tsfile/live/0130_1.m3u8?key=txiptv
广东卫视,http://183.10.180.11:9901/tsfile/live/0125_1.m3u8?key=txiptv
广东卫视,http://218.13.167.110:9901/tsfile/live/0125_1.m3u8?key=txiptv
