SmartTV-Malaysia,#genre#
TV1,http://223.18.103.169:8277/TV1/playlist.m3u8
TV1 backup,http://223.18.103.169:8277/TV1_backup/playlist.m3u8
TV2,http://223.18.103.169:8277/TV2/playlist.m3u8
TV3,http://223.18.103.169:8277/TV3/playlist.m3u8
TV3 backup,http://223.18.103.169:8277/tv3_twn/playlist.m3u8
NTV7,http://223.18.103.169:8277/NTV7/playlist.m3u8
TV8,http://223.18.103.169:8277/TV8/playlist.m3u8
TV9,http://223.18.103.169:8277/TV9/playlist.m3u8
Warna,http://223.18.103.169:8277/Warna-O/playlist.m3u8
Warna backup,http://223.18.103.169:8277/Warna/playlist.m3u8
Ria,http://223.18.103.169:8277/Ria-0/playlist.m3u8
Ria backup,http://223.18.103.169:8277/Ria49/playlist.m3u8
Ria-3,http://223.18.103.169:8277/Ria_quanjia/playlist.m3u8
Al-Hijrah,http://223.18.103.169:8277/Alhijrah/playlist.m3u8
Al-Hijrah backup,http://223.18.103.169:8277/Alhijrah_backup/playlist.m3u8
Awani,http://223.18.103.169:8277/Awani/playlist.m3u8
Bernama,http://223.18.103.169:8277/Bernama/playlist.m3u8
Prima,http://223.18.103.169:8277/Prima-0/playlist.m3u8
Prima backup,http://223.18.103.169:8277/Prima49/playlist.m3u8
Ceria,http://223.18.103.169:8277/Ceria/playlist.m3u8
Astro MTV,http://223.18.103.169:8277/AstroMTV/playlist.m3u8
Mecca Live HD,http://223.18.103.169:8277/quran_mido/playlist.m3u8
Madinah HD,http://223.18.103.169:8277/sunnah_mido/playlist.m3u8
Oasis,http://223.18.103.169:8277/Oasis/playlist.m3u8
HBO HD,http://223.18.103.169:8277/Hbo/playlist.m3u8
HBO Signature,http://223.18.103.169:8277/Hbosignature/playlist.m3u8
HBO Hits,http://223.18.103.169:8277/Hbohits/playlist.m3u8
NatGeo Wild HD,http://223.18.103.169:8277/Natgeowild/playlist.m3u8
Cartoon Network,http://223.18.103.169:8277/Cn/playlist.m3u8
Nickelodeon,http://223.18.103.169:8277/Nickelodeon/playlist.m3u8
Nick Jr,http://223.18.103.169:8277/Nickjr/playlist.m3u8
Citra,http://223.18.103.169:8277/Citra/playlist.m3u8
Sensasi,http://223.18.103.169:8277/Sensasi/playlist.m3u8
Aura,http://223.18.103.169:8277/Aura/playlist.m3u8
Rania,http://223.18.103.169:8277/Rania/playlist.m3u8
Boo,http://223.18.103.169:8277/Boo/playlist.m3u8
Awesome TV,http://223.18.103.169:8277/Awesome_mega/playlist.m3u8
Sony HD,http://223.18.103.169:8277/SetOne/playlist.m3u8
KBS World,http://223.18.103.169:8277/KBS/playlist.m3u8
TvN,http://223.18.103.169:8277/TVN/playlist.m3u8
Astro Premier,http://223.18.103.169:8277/Astropremier/playlist.m3u8
AEC,http://223.18.103.169:8277/AEC/playlist.m3u8
华丽台 HD （Wah Lai Toi）,http://223.18.103.169:8277/Wlt/playlist.m3u8
欢喜台 HD （Hua Hee Tai）,http://223.18.103.169:8277/Huahee/playlist.m3u8
欢喜台 backup,http://223.18.103.169:8277/Huahee_backup/playlist.m3u8
Astro QJ,http://223.18.103.169:8277/Quanjia/playlist.m3u8
TVB Jade,http://223.18.103.169:8277/Tvbjade/playlist.m3u8
TVB Asia,http://223.18.103.169:8277/Tvbasia/playlist.m3u8
TVB Entertainment,http://223.18.103.169:8277/Tvbentertainment/playlist.m3u8
TVB Classic,http://223.18.103.169:8277/Tvbclassic/playlist.m3u8
AOD,http://223.18.103.169:8277/AodHD/playlist.m3u8
One,http://223.18.103.169:8277/One_mega/playlist.m3u8
TVB 星河台  Xing He,http://223.18.103.169:8277/Xinhe/playlist.m3u8
爱奇艺 iQiyi,http://223.18.103.169:8277/Qiyi/playlist.m3u8
Animal Planet (Eng),http://223.18.103.169:8277/AnimalPlanet/playlist.m3u8
tvN Movie,http://223.18.103.169:8277/Tvnmovie/playlist.m3u8
CNN backup,http://223.18.103.169:8277/cnn_twn/playlist.m3u8
Celestial Classic,http://223.18.103.169:8277/Celestial2/playlist.m3u8
CNBC,http://223.18.103.169:8277/cnbc_twn/playlist.m3u8
RTM Sports HD,http://223.18.103.169:8277/Rtmsport/playlist.m3u8
TLC,http://223.18.103.169:8277/Tlc/playlist.m3u8
CNA,http://223.18.103.169:8277/cna/playlist.m3u8
AFC 亚洲旅游台,http://223.18.103.169:8277/asiatravel_twn/playlist.m3u8
BBC World News,http://223.18.103.169:8277/bbcnews_twn/playlist.m3u8
Foodnetwork Hd,http://223.18.103.169:8277/Foodnetwork_mega/playlist.m3u8
HGTV,http://223.18.103.169:8277/HGTV/playlist.m3u8
Arena,http://223.18.103.169:8277/Arena/playlist.m3u8
Goshop,http://223.18.103.169:8277/Goshop/playlist.m3u8
Celestial Movies HD,http://223.18.103.169:8277/Celestial_mega/playlist.m3u8
Arena 2,http://223.18.103.169:8277/Arena2/playlist.m3u8
Axn HD,http://223.18.103.169:8277/Axn/playlist.m3u8
Paramount Network,http://223.18.103.169:8277/Paramountnetwork/playlist.m3u8
BolaArena 1,http://223.18.103.169:8277/Bolaarena1/playlist.m3u8
Astrol Kplus,http://223.18.103.169:8277/Kplus/playlist.m3u8
Rock Actions,http://223.18.103.169:8277/Rockaction/playlist.m3u8
Bloomberg News,http://223.18.103.169:8277/bloomberg_twn/playlist.m3u8
Al-Jazeera,http://223.18.103.169:8277/aljazeera_twn/playlist.m3u8
